real	position	tone	is_heavy	pos	of	shape	shape2
0	1	f	1	1	1	1a1	_
0	2	r	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	r_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	r	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	r_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	r	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	r_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	r	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	r_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	1	1	1	1a1	_
0	2	f	0	1	2	2a1	_U
0	3	u	1	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	u	0	1	4	4a2	_Ruu
0	6	r	1	2	4	4a2	u_uu
0	7	u	0	3	4	4a2	uR_u
0	8	u	0	4	4	4a2	uRu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	r	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	r_uU
0	7	u	0	3	4	4a1	ru_U
0	8	u	1	4	4	4a1	ruu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	r	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	r_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	r	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	r_uU
0	7	u	0	3	4	4a1	ru_U
0	8	u	1	4	4	4a1	ruu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	u	0	1	2	2a0	_u
0	2	u	0	2	2	2a0	u_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	4	4a1	_uuU
0	6	u	0	2	4	4a1	f_uU
0	7	u	0	3	4	4a1	fu_U
0	8	u	1	4	4	4a1	fuu_
0	9	f	0	1	2	2a1	_u
0	10	u	0	2	2	2a1	f_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	f	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	f_uu
0	9	u	0	3	4	4a1	fu_u
0	10	u	0	4	4	4a1	fuu_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	f	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	f_uu
0	9	u	0	3	4	4a1	fu_u
0	10	u	0	4	4	4a1	fuu_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	f	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	f_uu
0	9	u	0	3	4	4a1	fu_u
0	10	u	0	4	4	4a1	fuu_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	u	0	1	1	1a0	_
0	4	f	1	1	1	1a1	_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	r	0	1	4	4a1	_uuu
0	8	u	0	2	4	4a1	r_uu
0	9	u	0	3	4	4a1	ru_u
0	10	u	0	4	4	4a1	ruu_
0	1	f	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	f_U
0	3	u	1	3	3	3a1	fu_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	f	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	f_U
0	3	u	1	3	3	3a1	fu_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	u	0	1	1	1a0	_
0	8	f	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	F_u
0	10	u	0	3	3	3a1	Fu_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	r	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	r_U
0	3	u	1	3	3	3a1	ru_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	f	0	1	3	3a1	_uU
0	2	u	0	2	3	3a1	f_U
0	3	u	1	3	3	3a1	fu_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	u	0	1	1	1a0	_
0	8	r	1	1	3	3a1	_uu
0	9	u	0	2	3	3a1	R_u
0	10	u	0	3	3	3a1	Ru_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	r	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	r_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	r	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	r_u
0	7	u	0	3	3	3a1	ru_
0	8	u	0	1	1	1a0	_
0	9	r	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	r_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	r	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	r_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	f	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	f_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	r	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	r_u
0	7	u	0	3	3	3a1	ru_
0	8	u	0	1	1	1a0	_
0	9	r	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	r_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	f	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	f_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	r	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	r_u
0	7	u	0	3	3	3a1	ru_
0	8	u	0	1	1	1a0	_
0	9	r	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	r_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	f	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	f_
0	1	r	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	r_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	f_u
0	7	u	0	3	3	3a1	fu_
0	8	u	0	1	1	1a0	_
0	9	f	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	f_
0	1	f	0	1	2	2a1	_u
0	2	u	0	2	2	2a1	f_
0	3	f	1	1	1	1a1	_
0	4	u	0	1	1	1a0	_
0	5	r	0	1	3	3a1	_uu
0	6	u	0	2	3	3a1	r_u
0	7	u	0	3	3	3a1	ru_
0	8	u	0	1	1	1a0	_
0	9	f	0	1	2	2a1	_U
0	10	u	1	2	2	2a1	f_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	r	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	r_u
0	10	u	0	3	3	3a1	rU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	r	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	r_u
0	10	u	0	3	3	3a1	rU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	f_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	r_
0	4	u	0	1	1	1a0	_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	f	0	1	1	1a1	_
0	8	r	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	r_u
0	10	u	0	3	3	3a1	rU_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	r_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	2	2a1	_u
0	3	u	0	2	2	2a1	r_
0	4	u	0	1	1	1a0	_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	1	1a1	_
0	8	f	0	1	3	3a1	_Uu
0	9	u	1	2	3	3a1	f_u
0	10	u	0	3	3	3a1	fU_
0	1	u	0	1	3	3a2	_ru
0	2	r	0	2	3	3a2	u_u
0	3	u	0	3	3	3a2	ur_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	1	1a1	_
0	6	r	0	1	2	2a1	_u
0	7	u	0	2	2	2a1	r_
0	8	u	0	1	1	1a0	_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	u	0	1	3	3a2	_ru
0	2	r	0	2	3	3a2	u_u
0	3	u	0	3	3	3a2	ur_
0	4	u	0	1	1	1a0	_
0	5	r	0	1	1	1a1	_
0	6	f	0	1	2	2a1	_u
0	7	u	0	2	2	2a1	f_
0	8	u	0	1	1	1a0	_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	u	0	1	3	3a2	_fu
0	2	f	0	2	3	3a2	u_u
0	3	u	0	3	3	3a2	uf_
0	4	u	0	1	1	1a0	_
0	5	f	0	1	1	1a1	_
0	6	f	0	1	2	2a1	_u
0	7	u	0	2	2	2a1	f_
0	8	u	0	1	1	1a0	_
